instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,temp,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stp.mn.0100,﻿station,not recorded,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿Waterville,,,,44.218853,-93.568002,﻿stp.mn.0129,"﻿Visited by Rev. Geo. Keller, of Faribault",,,,,,,,,,,,1869,66.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0019,﻿church,﻿Church of St. Joseph,English,,,,﻿Carver County,﻿Carver County,﻿Waconia,,,,44.849456,-93.785881,,﻿,,﻿fer_stern_001,﻿Rev.,﻿F. Stern,,,,,,,,1869,67.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0020,﻿church,﻿Church of Guardian Angels,English,,,,﻿Carver County,﻿Carver County,﻿Chaska,,,,44.78516,-93.602783,,﻿,,﻿m_mayer_001,﻿Rev.,﻿M. Mayer,,,,,,,,1869,68.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0022,﻿church,﻿Church of St. Bernard,English,,,,﻿Carver County,﻿Carver County,﻿Benton,,,,44.767274,-93.845173,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1869,69.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0021,﻿church,﻿Church of Immaculate Conception,English,,,,﻿Carver County,﻿Carver County,﻿Watertown,,,,44.964929,-93.849179,,﻿,,﻿c_robert_001,﻿Rev.,﻿C. Robert,,,,,,,,1869,70.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0023,﻿church,﻿Church of St. Hubert,English,,,,﻿Carver County,﻿Carver County,﻿Chanhassan,,,,44.855361,-93.532154,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1869,71.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0024,﻿church,﻿Church of St. Victoria,English,,,,﻿Carver County,﻿Carver County,﻿Laketown,,,,44.854658,-93.661907,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1869,72.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0025,﻿station,﻿Young America station,English,,,,﻿Carver County,,,,,,44.780929,-93.912913,﻿stp.mn.0019,﻿Visited by Rev. F. Stern,,,,,,,,,,,,1869,73.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0254,﻿station,﻿San Francisco station,English,,,,﻿Carver County,,﻿San Francisco,,,,,,﻿stp.mn.0020,﻿Visited by Rev. M. Mayer,,,,,,,,,,,,1869,74.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0108,﻿church,﻿Church of St. Peter and Paul,English,,,,﻿McLeod County,﻿McLeod County,﻿Glencoe,,,,44.769044,-94.151752,﻿stp.mn.0019,﻿Visited by Rev. F. Stern,,,,,,,,,,,,1869,75.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0109,﻿station,not recorded,English,,,,﻿McLeod County,﻿McLeod County,﻿Winsted,,,,44.963852,-94.047472,﻿stp.mn.0021,﻿Visited by Rev. C. Robert,,,,,,,,,,,,1869,76.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0110,﻿station,not recorded,English,,,,﻿McLeod County,﻿McLeod County,﻿Hutchinson,,,,44.892548,-94.369293,﻿stp.mn.0021,﻿Visited by Rev. C. Robert,,,,,,,,,,,,1869,77.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0111,﻿station,not recorded,English,,,,﻿McLeod County,﻿McLeod County,﻿Fremont,,,,44.903068,-94.202628,﻿stp.mn.0019,﻿Visited by Rev. F. Stern,,,,,,,,,,,,1869,78.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0164,﻿church,﻿Church of St. Thomas,English,,,,﻿Sibley County,﻿Sibley County,﻿Jessenland,,,,44.598931,-93.900236,,﻿,,﻿the_venn_001,﻿Rev.,﻿Theodore Venn,,,,,,,,1869,79.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0166,﻿church,﻿Church of St. Joseph,English,,,,﻿Sibley County,﻿Sibley County,﻿Henderson,,,,44.525987,-93.908159,﻿stp.mn.0164,﻿Vistied by Rev. Theodore Venn,,,,,,,,,,,,1869,80.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0165,﻿church,﻿Church of the Assumption,English,,,,﻿Sibley County,﻿Sibley County,﻿Washington Lake,,,,44.688018,-93.888855,﻿stp.mn.0164,﻿Visited by Rev. Theodore Venn,,,,,,,,,,,,1869,81.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0167,﻿church,not recorded,English,,,,﻿Sibley County,﻿Sibley County,﻿St. John's,,,,44.665,-93.8005,﻿stp.mn.0164,﻿Visited by Rev. Theodore Venn,,,,,,,,,,,,1869,82.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0169,﻿church,not recorded,English,,,,﻿Sibley County,﻿Sibley County,﻿Arlington,,,,44.608297,-94.080528,﻿stp.mn.0164,﻿Visited by Rev. T. Venn,,,,,,,,,,,,1869,83.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0116,﻿church,﻿Church of St. Peter,English,,,,﻿Nicolet County,﻿Nicollet County,﻿St. Peter,,,,44.332054,-93.976611,,﻿,,﻿j_zuzek_001,﻿Rev.,﻿J. Zuzek,,,,,,,,1869,84.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0117,﻿church,﻿Church of Visitation,English,,,,﻿Nicolet County,﻿Nicollet County,﻿Granby,,,,44.340687,-94.212834,﻿stp.mn.0116,﻿Visited by Rev. J. Zuzek,,,,,,,,,,,,1869,85.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0118,﻿church,﻿Church of St. Michael,English,,,,﻿Nicolet County,﻿Nicollet County,﻿Belgrade,,,,44.231701,-94.089991,﻿stp.mn.0116,﻿Visited by Rev. J. Zuzek,,,,,,,,,,,,1869,86.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0119,﻿church,﻿Church of St. George,English,,,,﻿Nicolet County,﻿Nicollet County,﻿West-Newton,,,,44.403576,-94.541814,﻿stp.mn.0017,﻿Visited by Rev. Wm. Kibler,,,,,,,,,,,,1869,87.0,﻿,﻿,﻿St. Paul,StPaul
