instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,notes,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿pit.pa.0001,﻿church,﻿St. Paul's,English,,,,,﻿Allegheny County,﻿Pittsburg,﻿Pittsburg,﻿PA,﻿PA,40.44783415,-79.94997296,,,,﻿joh_v_oreilly_001,﻿Rev.,﻿John O'Reilly,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0002,﻿church,﻿St. Patrick's,English,,,,,﻿Allegheny County,﻿Pittsburg,﻿Pittsburg,﻿PA,﻿PA,40.44954473,-79.985124,,,,﻿joh_v_oreilly_001,﻿Rev.,﻿J. O'Reilly,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0002,﻿church,﻿St. Patrick's,English,,,,,﻿Allegheny County,﻿Pittsburg,﻿Pittsburg,﻿PA,,40.44954473,-79.985124,,,,﻿fra_m_masquelet_901,﻿Rev.,﻿F. Masquelt,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0119,﻿church,﻿St. Patrick's,English,,,,,﻿Schuylkill County,﻿Pottsville,﻿Pottsville,﻿PA,﻿PA,40.68308469,-76.19720629,,,﻿[visited] 3 Sundays in the month [by] Rev. A. Wainwright,﻿a_wainwright_901,﻿Rev.,﻿A. Wainwright,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0043,﻿church,﻿St. Peter's,English,,,,,﻿Berks County,﻿Reading,﻿Reading,﻿PA,﻿PA,40.33004804,-75.92859369,,,,﻿bon_corvin_901,﻿Rev.,﻿B. Corvin,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0043,﻿church,﻿St. Peter's,English,,,,,﻿Berks County,﻿Reading,﻿Reading,﻿PA,,40.33004804,-75.92859369,,,,﻿nic_steinbacher_901,﻿Rev.,﻿Nicholas Steinbacher,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿scr.pa.0081,﻿church,not recorded,English,,,,,﻿Susquehanna County,﻿Silver Lake,﻿Brackney,﻿PA,﻿PA,41.96504028,-75.95388103,,,,,,,,,﻿Vacant,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.9004,﻿church,﻿St. Francis,English,,,,,﻿Westmoreland County,﻿Sportsman's Hall,﻿Latrobe,﻿PA,,,,,,﻿[visited] twice a month [by] Rev. J. A. Stillinger,﻿jam_a_stillinger_001,﻿Rev.,﻿J. A. Stillinger,,,﻿Resides at Blairsville,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0129,﻿church,﻿St.Jerom's,English,,,,,,﻿Tamaqua,,﻿PA,,40.7973112,-75.9693707,,,,﻿a_wainwright_901,﻿Rev.,﻿A. Wainwright,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0101,﻿church,not recorded,English,﻿Church not finished,,,﻿Greene County,﻿Greene County,﻿Waynesburg,﻿Waynesburg,﻿PA,﻿PA,39.89621361,-80.18363432,,,,,,,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
